object_id,actual_mm,measured_mm,distance_mm
item1,180.23,181.87,2100
item2,46.10,44.91,2100
item3,82.70,81.42,2100
item4,102.30,103.98,2100
item5,75.10,73.64,2100
item6,60.20,61.27,2100
item7,241.50,243.83,2100
item8,183.90,181.74,2100
item9,130.50,132.34,2100
item10,101.40,99.69,2100
item11,47.20,48.41,2100
item12,78.20,76.68,2100
item13,191.00,193.35,2100
item14,119.50,117.64,2100
item15,135.20,137.34,2100
item16,183.10,185.46,2100
item17,226.20,223.50,2100
item18,248.80,245.54,2100
item19,123.80,125.57,2100
item20,165.70,163.52,2100
item21,126.10,127.72,2100
